"index_name","index_date","open_index_value","high_index_value","low_index_value","closing_index_value","points_change","change_percent","volume","turnover_rs_cr","pe_ratio","pb_ratio","div_yield"
"Nifty 50","2024-03-22","21932.20","22180.70","21883.30","22096.75","84.80","0.39","388656439","39023.19","22.81","3.87","1.21"
"Nifty Next 50","2024-03-22","58987.10","59326.25","58644.30","59188.90","270.60","0.46","239966115","10207.54","25.60","4.75","1.24"
"Nifty 100","2024-03-22","22476.70","22709.35","22414.50","22633.80","94.90","0.42","630024734","49320.98","23.48","4.04","1.19"
"Nifty 200","2024-03-22","12084.35","12204.85","12050.50","12168.75","54.25","0.45","1921544340","67660.17","23.64","4.00","1.15"
"Nifty 500","2024-03-22","19855.00","20048.60","19806.70","19994.60","97.20","0.49","2601583232","82714.83","24.25","4.02","1.11"
"Nifty Midcap 50","2024-03-22","13262.80","13357.75","13210.90","13329.95","24.55","0.18","699267974","9603.95","20.40","3.62","1.17"
"NIFTY Midcap 100","2024-03-22","46986.25","47371.00","46843.50","47312.85","279.30","0.59","1291519606","18339.19","24.53","3.79","0.88"
"NIFTY Smallcap 100","2024-03-22","14955.65","15092.95","14918.35","15056.75","96.45","0.64","331447979","7266.15","27.74","3.71","0.78"
"Nifty50 Dividend Points","2024-03-22","NaN","NaN","NaN","220.59","0.00","NaN","NaN","NaN","NaN","NaN","NaN"
"Nifty Auto","2024-03-22","20706.40","21177.40","20622.80","21046.40","346.15","1.67","52410949","6130.82","26.91","6.02","0.86"
"Nifty Bank","2024-03-22","46634.90","46974.15","46566.80","46863.75","178.85","0.38","172184807","10851.42","15.56","2.73","0.79"
"Nifty Energy","2024-03-22","38314.05","38618.05","38107.95","38411.55","83.20","0.22","119522088","6535.16","12.99","2.48","2.26"
"Nifty Financial Services","2024-03-22","20693.75","20846.05","20667.35","20783.55","68.75","0.33","119873388","12281.00","17.34","3.25","0.81"
"Nifty FMCG","2024-03-22","53312.90","53849.60","53305.05","53775.70","437.35","0.82","52649080","3765.20","42.95","11.16","1.95"
"Nifty IT","2024-03-22","35256.60","35419.25","34701.75","35188.40","-838.40","-2.33","48826144","8475.18","30.10","7.64","2.02"
"Nifty Media","2024-03-22","1823.45","1858.80","1821.45","1849.80","22.85","1.25","84690718","488.10","NaN","1.97","0.48"
"Nifty Metal","2024-03-22","8029.85","8169.45","7983.35","8130.80","78.05","0.97","179125574","4023.56","26.80","2.39","2.37"
"Nifty MNC","2024-03-22","25184.85","25490.50","25133.30","25455.60","241.45","0.96","33412580","4738.69","42.04","8.83","1.82"
"Nifty Pharma","2024-03-22","18594.75","18881.25","18583.75","18815.60","233.00","1.25","21427168","2429.73","35.92","5.13","0.73"
"Nifty PSU Bank","2024-03-22","6831.05","6909.95","6810.60","6888.50","65.85","0.97","153374001","3042.58","9.40","1.59","1.54"
"Nifty Realty","2024-03-22","863.50","876.80","860.40","874.50","15.10","1.76","12555449","1267.10","54.72","5.56","0.26"
"Nifty India Consumption","2024-03-22","9889.35","10022.30","9872.35","9994.55","107.15","1.08","95608065","11942.69","45.72","8.56","1.03"
"Nifty Commodities","2024-03-22","8151.55","8242.90","8117.05","8203.90","46.40","0.57","241663793","10440.31","15.33","2.38","1.94"
"Nifty Dividend Opportunities 50","2024-03-22","5620.15","5686.45","5582.70","5664.85","8.35","0.15","662197014","23359.40","16.95","3.57","2.73"
"Nifty Infrastructure","2024-03-22","8091.15","8183.05","8074.30","8146.40","55.55","0.69","167697098","11455.32","20.44","3.19","1.15"
"Nifty PSE","2024-03-22","8924.45","9035.60","8842.75","8968.25","33.40","0.37","331662148","8510.27","10.08","2.31","3.10"
"Nifty Services Sector","2024-03-22","27543.95","27725.25","27408.40","27622.80","-66.20","-0.24","213009809","23032.21","21.81","4.06","1.15"
"Nifty50 Shariah","2024-03-22","NaN","NaN","NaN","4638.47","-30.34","-0.65","157305307","13062.60","28.29","4.93","1.92"
"Nifty500 Shariah","2024-03-22","NaN","NaN","NaN","6509.25","-3.58","-0.05","691959512","31469.27","31.88","5.26","1.36"
"Nifty Low Volatility 50","2024-03-22","NaN","NaN","NaN","21756.09","118.14","0.55","273294076","30649.18","26.69","4.74","1.27"
"Nifty Alpha 50","2024-03-22","45204.40","45734.75","45038.90","45591.15","319.60","0.71","518612675","13719.17","26.70","4.11","0.80"
"Nifty High Beta 50","2024-03-22","NaN","NaN","NaN","3579.07","27.44","0.77","503767345","14932.11","16.61","2.11","1.45"
"Nifty100 Equal Weight","2024-03-22","28572.30","28855.55","28470.10","28781.75","186.40","0.65","630024734","49320.98","24.89","4.32","1.26"
"Nifty100 Liquid 15","2024-03-22","6245.15","6326.00","6228.10","6304.40","48.55","0.78","146759637","14405.00","26.45","3.60","0.76"
"Nifty CPSE","2024-03-22","5640.80","5703.00","5588.50","5660.30","12.75","0.23","212445740","4074.31","12.19","2.38","3.45"
"Nifty50 Value 20","2024-03-22","12095.65","12213.90","12025.50","12173.10","-19.85","-0.16","259581296","16534.26","19.44","3.54","2.20"
"Nifty Midcap Liquid 15","2024-03-22","10713.50","10783.20","10688.25","10764.15","-5.35","-0.05","94829786","3555.23","18.27","3.12","1.08"
"Nifty Shariah 25","2024-03-22","NaN","NaN","NaN","7685.50","-15.18","-0.20","121113972","11826.77","26.47","4.86","1.85"
"India VIX","2024-03-22","12.51","13.05","11.81","12.22","-0.29","-2.34","NaN","NaN","NaN","NaN","NaN"
"Nifty Growth Sectors 15","2024-03-22","10814.60","10948.35","10769.80","10914.60","9.20","0.08","108828315","12710.56","33.02","8.36","1.79"
"Nifty50 TR 1x Inverse","2024-03-22","184.40","184.80","182.35","183.05","-0.65","-0.35","NaN","NaN","NaN","NaN","NaN"
"Nifty50 TR 2x Leverage","2024-03-22","17004.80","17389.00","16930.05","17260.95","128.80","0.75","NaN","NaN","NaN","NaN","NaN"
"Nifty50 PR 1x Inverse","2024-03-22","220.35","220.85","217.90","218.70","-0.80","-0.36","NaN","NaN","NaN","NaN","NaN"
"Nifty50 PR 2x Leverage","2024-03-22","11883.90","12152.40","11831.70","12062.95","90.00","0.75","NaN","NaN","NaN","NaN","NaN"
"NIFTY100 Quality 30","2024-03-22","5043.20","5092.90","5016.10","5077.30","5.85","0.12","168330971","19383.68","30.51","8.29","1.81"
"Nifty 50 Futures Index","2024-03-22","NaN","NaN","NaN","6340.97","18.39","0.29","NaN","NaN","NaN","NaN","NaN"
"NIFTY50 Equal Weight","2024-03-22","27563.15","27962.00","27490.90","27851.40","208.55","0.75","388656439","39023.19","22.69","3.80","1.37"
"Nifty 50 Futures TR Index","2024-03-22","NaN","NaN","NaN","23669.20","73.31","0.31","NaN","NaN","NaN","NaN","NaN"
"Nifty Mahindra Group","2024-03-22","NaN","NaN","NaN","23746.95","27.47","0.12","10203768","1217.08","23.94","3.56","1.70"
"Nifty Aditya Birla Group","2024-03-22","NaN","NaN","NaN","6987.62","81.75","1.18","479907033","1360.60","NaN","3.14","0.47"
"Nifty Tata Group","2024-03-22","NaN","NaN","NaN","17898.63","-81.46","-0.45","116732751","6984.92","39.54","8.63","1.15"
"Nifty Tata Group 25% Cap","2024-03-22","NaN","NaN","NaN","15831.67","7.35","0.05","106487590","6315.65","49.32","6.59","0.90"
"Nifty Private Bank","2024-03-22","23334.80","23515.55","23317.50","23452.60","97.35","0.42","120570096","9102.06","16.46","2.70","0.63"
"Nifty Smallcap 250","2024-03-22","14049.80","14192.65","14024.75","14161.40","114.10","0.81","597784573","12576.77","27.29","3.65","0.88"
"Nifty Smallcap 50","2024-03-22","6916.80","6992.05","6897.05","6971.50","48.50","0.70","190836083","3534.49","27.71","3.58","0.86"
"Nifty MidSmallcap 400","2024-03-22","16206.35","16340.20","16181.50","16322.15","110.55","0.68","1971558498","33393.86","26.75","3.96","0.88"
"Nifty Midcap 150","2024-03-22","17386.00","17518.05","17343.90","17502.80","106.50","0.61","1373773925","20817.08","26.46","4.15","0.89"
"Nifty Midcap Select","2024-03-22","10383.50","10422.45","10353.85","10402.10","-22.95","-0.22","93204634","4906.37","18.77","4.00","1.04"
"NIFTY LargeMidcap 250","2024-03-22","13637.55","13758.10","13602.45","13731.05","70.50","0.52","2003798659","70138.06","24.88","4.09","1.04"
"NIFTY SME EMERGE","2024-03-22","NaN","NaN","NaN","11222.75","73.87","0.66","NaN","NaN","61.50","6.94","0.11"
"Nifty Oil & Gas","2024-03-22","11214.70","11293.00","11141.15","11223.00","21.25","0.19","90764655","5352.81","9.06","2.02","2.50"
"Nifty Financial Services 25/50","2024-03-22","22341.75","22538.00","22307.60","22476.20","123.70","0.55","119873388","12281.00","17.03","3.21","0.91"
"Nifty Healthcare Index","2024-03-22","11707.35","11880.50","11698.55","11851.30","148.20","1.27","25793917","3149.78","40.81","5.65","0.58"
"Nifty500 Multicap 50:25:25","2024-03-22","13574.40","13701.40","13548.05","13671.55","76.80","0.56","2601583232","82714.83","25.05","3.96","1.04"
"Nifty Microcap 250","2024-03-22","18752.50","18991.60","18729.45","18948.50","255.60","1.37","397519722","5636.37","26.84","2.99","0.64"
"Nifty Total Market","2024-03-22","11142.70","11252.50","11116.80","11222.40","57.95","0.52","2999102954","88351.20","24.33","3.97","1.10"
"Nifty India Digital","2024-03-22","7621.20","7665.35","7524.30","7649.60","-32.35","-0.42","586520870","12518.98","138.86","9.79","1.03"
"Nifty Mobility","2024-03-22","NaN","NaN","NaN","18013.50","243.49","1.37","171888611","12421.69","25.88","5.76","0.88"
"Nifty India Defence","2024-03-22","NaN","NaN","NaN","4593.94","77.05","1.71","42153354","2601.88","47.29","11.00","0.66"
"Nifty Financial Services Ex-Bank","2024-03-22","NaN","NaN","NaN","22360.10","157.46","0.71","73254452","5296.89","21.10","3.61","0.90"
"Nifty Housing","2024-03-22","NaN","NaN","NaN","10332.84","63.19","0.62","620376678","19391.18","25.77","3.35","0.87"
"Nifty Transportation & Logistics","2024-03-22","NaN","NaN","NaN","20121.17","313.04","1.58","106620331","8115.48","29.64","6.26","0.70"
"Nifty MidSmall Financial Services","2024-03-22","NaN","NaN","NaN","12895.05","126.68","0.99","388606530","4683.74","15.18","2.20","1.13"
"Nifty MidSmall Healthcare","2024-03-22","NaN","NaN","NaN","31611.69","134.76","0.43","22477252","1587.53","45.31","5.22","0.53"
"Nifty MidSmall IT & Telecom","2024-03-22","NaN","NaN","NaN","9713.90","-20.25","-0.21","530486726","4047.62","112.61","16.12","0.94"
"Nifty MidSmall India Consumption","2024-03-22","NaN","NaN","NaN","15105.05","56.69","0.38","52405205","2689.97","64.88","7.09","0.42"
"Nifty REITs & InvITs","2024-03-22","NaN","NaN","NaN","1069.20","1.87","0.17","3148258","46.14","32.83","1.64","7.03"
"Nifty Core Housing","2024-03-22","NaN","NaN","NaN","14161.38","78.79","0.56","38606340","3449.61","34.18","3.86","0.63"
"Nifty500 Multicap Infrastructure 50:30:20","2024-03-22","NaN","NaN","NaN","12392.29","90.67","0.74","742440024","15082.92","23.62","3.61","1.06"
"Nifty Consumer Durables","2024-03-22","31551.30","31824.30","31482.85","31715.65","170.20","0.54","16673880","1547.96","70.58","10.02","0.42"
"Nifty Non-Cyclical Consumer","2024-03-22","NaN","NaN","NaN","13830.29","107.85","0.79","148024847","8853.73","60.64","11.47","0.90"
"Nifty500 Multicap India Manufacturing 50:30:20","2024-03-22","NaN","NaN","NaN","12447.94","129.46","1.05","305533713","17713.50","28.52","3.83","0.86"
"Nifty100 ESG Sector Leaders","2024-03-22","3625.65","3662.75","3614.75","3648.85","10.95","0.30","409575022","38907.66","26.76","4.28","0.96"
"NIFTY100 Alpha 30","2024-03-22","NaN","NaN","NaN","16952.99","151.04","0.90","274032476","15134.37","24.45","4.75","1.17"
"NIFTY500 Value 50","2024-03-22","NaN","NaN","NaN","12530.73","75.81","0.61","684868234","14329.87","9.98","1.61","3.58"
"Nifty100 Low Volatility 30","2024-03-22","17836.55","18059.45","17816.20","18003.70","125.30","0.70","208042997","22565.93","26.12","5.54","1.46"
"NIFTY Alpha Low-Volatility 30","2024-03-22","25640.25","25902.85","25595.30","25842.80","214.40","0.84","155731912","13911.03","23.75","4.64","1.36"
"NIFTY Quality Low-Volatility 30","2024-03-22","NaN","NaN","NaN","16088.41","64.01","0.40","141745436","18797.26","30.74","7.89","1.55"
"NIFTY Alpha Quality Low-Volatility 30","2024-03-22","NaN","NaN","NaN","20795.26","136.89","0.66","126564360","13754.95","28.44","7.57","1.63"
"NIFTY Alpha Quality Value Low-Volatility 30","2024-03-22","NaN","NaN","NaN","18215.81","76.23","0.42","223906121","19390.05","18.89","4.60","2.17"
"NIFTY200 Quality 30","2024-03-22","18342.60","18520.25","18255.65","18470.70","4.50","0.02","131860235","14439.65","32.34","9.57","1.91"
"NIFTY Midcap150 Quality 50","2024-03-22","20110.25","20189.90","20011.90","20173.05","-8.55","-0.04","64771458","5334.57","27.84","6.86","1.49"
"Nifty200 Momentum 30","2024-03-22","29945.40","30382.00","29830.45","30231.25","225.95","0.75","192068030","10372.40","21.06","4.11","1.39"
"Nifty India Manufacturing","2024-03-22","11890.30","12063.65","11873.05","12029.00","136.25","1.15","328058171","20439.14","26.93","4.51","1.13"
"Nifty200 Alpha 30","2024-03-22","22572.60","22835.35","22464.50","22737.20","91.75","0.41","680348138","10753.45","32.81","4.45","1.08"
"Nifty Midcap150 Momentum 50","2024-03-22","51719.85","52280.80","51647.65","52214.20","400.95","0.77","335608739","9663.23","23.45","3.91","0.91"
"Nifty Smallcap250 Quality 50","2024-03-22","NaN","NaN","NaN","22863.09","133.54","0.59","84002960","2644.79","22.85","4.49","1.65"
"Nifty Smallcap250 Momentum Quality 100","2024-03-22","NaN","NaN","NaN","42063.90","262.16","0.63","178887271","5847.17","25.55","4.22","0.97"
"Nifty MidSmallcap400 Momentum Quality 100","2024-03-22","NaN","NaN","NaN","42967.31","188.03","0.44","265009092","11363.90","22.55","4.55","1.25"
"NIFTY100 ESG","2024-03-22","4291.75","4330.60","4271.95","4315.35","7.60","0.18","546097148","45941.02","25.08","4.47","1.09"
"NIFTY100 Enhanced ESG","2024-03-22","NaN","NaN","NaN","4346.20","7.62","0.18","544891420","45632.18","25.06","4.47","1.09"
"Nifty 50 Arbitrage","2024-03-22","NaN","NaN","NaN","2295.38","1.63","0.07","NaN","NaN","NaN","NaN","NaN"
"Nifty 8-13 yr G-Sec","2024-03-22","2583.15","2583.15","2577.69","2577.69","-4.95","-0.19","NaN","NaN","NaN","NaN","NaN"
"Nifty 4-8 yr G-Sec Index","2024-03-22","2792.90","2792.90","2789.24","2789.24","-3.12","-0.11","NaN","NaN","NaN","NaN","NaN"
"Nifty 11-15 yr G-Sec Index","2024-03-22","2846.74","2846.74","2840.68","2840.68","-5.51","-0.19","NaN","NaN","NaN","NaN","NaN"
"Nifty 15 yr and above G-Sec Index","2024-03-22","3153.56","3155.77","3143.81","3143.81","-9.14","-0.29","NaN","NaN","NaN","NaN","NaN"
"Nifty Composite G-sec Index","2024-03-22","2671.79","2671.86","2665.99","2665.99","-5.28","-0.20","NaN","NaN","NaN","NaN","NaN"
"Nifty 10 yr Benchmark G-Sec","2024-03-22","2288.20","2288.20","2282.72","2282.72","-5.04","-0.22","NaN","NaN","NaN","NaN","NaN"
"Nifty 10 yr Benchmark G-Sec (Clean Price)","2024-03-22","877.76","877.76","875.65","875.65","-2.12","-0.24","NaN","NaN","NaN","NaN","NaN"
"Nifty 1D Rate Index","2024-03-22","NaN","NaN","NaN","2256.44","0.41","0.02","NaN","NaN","NaN","NaN","NaN"
"Nifty50 USD","2024-03-22","NaN","NaN","NaN","9177.60","5.54","0.06","NaN","NaN","NaN","NaN","NaN"
"Nifty 50","2024-08-23","24845.40","24858.40","24771.65","24823.15","11.65","0.05","206800655","23134.22","23.06","4.18","1.23"
"Nifty Next 50","2024-08-23","74904.35","74958.60","74325.25","74403.60","-256.75","-0.34","327612786","15867.01","26.46","5.06","1.12"
"Nifty 100","2024-08-23","25956.30","25972.05","25880.50","25905.95","-4.50","-0.02","549346422","40118.39","23.96","4.34","1.18"
"Nifty 200","2024-08-23","14138.10","14145.70","14088.05","14099.20","-13.40","-0.09","1605853834","62539.08","25.87","4.45","1.10"
"Nifty 500","2024-08-23","23485.30","23496.85","23401.00","23418.65","-22.05","-0.09","2341184147","88272.30","26.71","4.53","1.06"
"Nifty Midcap 50","2024-08-23","16598.35","16612.05","16451.15","16463.10","-112.25","-0.68","759821254","9171.87","47.63","5.68","0.73"
"Nifty 1D Rate Index","2024-08-20","NaN","NaN","NaN","2318.04","0.40","0.02","NaN","NaN","NaN","NaN","NaN"
"NIFTY Midcap 100","2024-08-23","58961.55","59008.45","58518.20","58555.30","-289.55","-0.49","1056507412","22420.70","43.80","5.13","0.69"
"NIFTY Smallcap 100","2024-08-23","19165.60","19180.20","19033.95","19079.25","-20.35","-0.11","435659930","13572.61","29.92","4.43","0.82"
"Nifty50 Dividend Points","2024-08-23","NaN","NaN","NaN","194.25","0.00","NaN","NaN","NaN","NaN","NaN","NaN"
"Nifty Auto","2024-08-23","25630.80","25929.05","25621.25","25850.70","287.05","1.12","70287781","7062.21","23.90","5.65","0.86"
"Nifty Bank","2024-08-23","51040.05","51117.85","50856.70","50933.45","-52.25","-0.10","88479768","5094.50","14.78","2.83","0.92"
"Nifty Energy","2024-08-23","43385.20","43546.00","43308.20","43338.15","17.00","0.04","87005144","4549.86","15.93","2.75","2.26"
"Nifty Financial Services","2024-08-23","23275.15","23305.50","23199.95","23232.15","-15.00","-0.06","56505533","6611.57","16.55","3.39","0.92"
"Nifty FMCG","2024-08-23","63586.65","63700.75","63134.75","63409.25","-74.35","-0.12","23264622","2480.17","49.78","12.33","1.68"
"Nifty IT","2024-08-23","41492.75","41548.75","41029.50","41089.85","-416.35","-1.00","16888129","3122.94","33.58","8.54","1.89"
"Nifty Media","2024-08-23","2103.15","2104.35","2064.75","2068.95","-27.05","-1.29","36437312","435.72","NaN","2.18","0.39"
"Nifty Metal","2024-08-23","9344.45","9352.45","9273.30","9290.50","-35.75","-0.38","91657668","3093.93","30.94","2.85","1.63"
"Nifty MNC","2024-08-23","31140.90","31153.95","30878.55","30905.15","-153.45","-0.49","34034389","4309.38","46.65","10.63","1.42"
"Nifty Pharma","2024-08-23","22565.60","22608.10","22450.85","22527.85","-18.25","-0.08","15638312","2612.23","37.62","6.02","0.60"
"Nifty PSU Bank","2024-08-23","7070.80","7074.10","7010.50","7017.70","-42.00","-0.59","66278933","1203.42","8.57","1.36","2.10"
"Nifty Realty","2024-08-23","1042.60","1046.05","1016.80","1018.10","-25.35","-2.43","8078156","1094.73","55.36","6.05","0.41"
"Nifty India Consumption","2024-08-23","11997.70","12015.45","11965.30","11987.65","15.10","0.13","150834039","11577.38","52.38","9.69","0.95"
"Nifty Commodities","2024-08-23","9461.10","9463.70","9398.90","9407.55","-23.55","-0.25","175305243","9178.53","20.11","2.75","1.83"
"Nifty Dividend Opportunities 50","2024-08-23","6814.15","6819.05","6781.60","6788.80","-20.55","-0.30","328182207","14917.32","19.39","3.88","2.40"
"Nifty Infrastructure","2024-08-23","9287.75","9299.80","9256.45","9271.95","5.50","0.06","138786592","11008.46","24.59","3.61","1.20"
"Nifty PSE","2024-08-23","11361.55","11397.00","11313.80","11323.50","-22.50","-0.20","180070958","6672.16","13.23","2.89","2.87"
"Nifty Services Sector","2024-08-23","31494.50","31521.25","31369.35","31409.25","-49.40","-0.16","212883129","14538.41","22.21","4.29","1.16"
"Nifty50 Shariah","2024-08-23","NaN","NaN","NaN","5520.28","-10.17","-0.18","41205006","5510.53","28.78","6.82","1.77"
"Nifty500 Shariah","2024-08-23","NaN","NaN","NaN","7996.69","-20.28","-0.25","612256185","32481.43","37.20","7.16","1.10"
"Nifty Low Volatility 50","2024-08-23","NaN","NaN","NaN","25213.11","-65.59","-0.26","124718328","18688.79","33.24","5.82","1.04"
"Nifty Alpha 50","2024-08-23","59697.35","59840.20","59431.20","59484.20","-24.70","-0.04","432486788","17528.41","30.92","5.39","0.71"
"Nifty High Beta 50","2024-08-23","NaN","NaN","NaN","4153.03","-25.20","-0.60","855625442","12098.78","21.07","2.22","1.33"
"Nifty100 Equal Weight","2024-08-23","34265.70","34281.45","34085.55","34114.45","-79.15","-0.23","549346422","40118.39","26.33","4.76","1.14"
"Nifty100 Liquid 15","2024-08-23","6832.35","6843.25","6816.60","6832.55","15.55","0.23","83763726","8407.59","21.06","3.39","0.88"
"Nifty CPSE","2024-08-23","7334.30","7367.70","7306.50","7333.80","8.45","0.12","118074680","3591.30","15.01","3.06","2.70"
"Nifty50 Value 20","2024-08-23","14092.30","14109.90","14025.80","14073.20","-7.75","-0.06","126269972","9600.24","20.87","4.02","2.01"
"Nifty Midcap Liquid 15","2024-08-23","14097.40","14104.40","13960.80","13989.55","-101.10","-0.72","50918359","3105.06","39.87","4.82","0.63"
"Nifty Shariah 25","2024-08-23","NaN","NaN","NaN","9210.82","-41.30","-0.45","75280858","6407.53","30.34","6.81","1.66"
"India VIX","2024-08-23","13.00","13.62","10.84","13.55","0.55","4.25","NaN","NaN","NaN","NaN","NaN"
"Nifty Growth Sectors 15","2024-08-23","12514.30","12532.25","12440.80","12474.75","-33.25","-0.27","38242610","5924.96","34.57","9.11","1.77"
"Nifty50 TR 1x Inverse","2024-08-23","164.25","164.75","164.20","164.40","-0.05","-0.03","NaN","NaN","NaN","NaN","NaN"
"Nifty50 TR 2x Leverage","2024-08-23","21353.95","21368.25","21227.55","21315.70","19.95","0.09","NaN","NaN","NaN","NaN","NaN"
"Nifty50 PR 1x Inverse","2024-08-23","197.90","198.50","197.85","198.10","-0.05","-0.03","NaN","NaN","NaN","NaN","NaN"
"Nifty50 PR 2x Leverage","2024-08-23","14674.80","14684.60","14587.90","14648.50","11.10","0.08","NaN","NaN","NaN","NaN","NaN"
"NIFTY100 Quality 30","2024-08-23","6053.40","6059.70","6027.00","6033.05","-14.70","-0.24","86280586","11720.27","34.54","10.11","1.63"
"Nifty 50 Arbitrage","2024-08-23","NaN","NaN","NaN","2363.81","0.16","0.01","NaN","NaN","NaN","NaN","NaN"
"Nifty 50 Futures TR Index","2024-08-23","NaN","NaN","NaN","26652.06","19.69","0.07","NaN","NaN","NaN","NaN","NaN"
"Nifty India Corporate Group Index - Mahindra Group","2024-08-23","NaN","NaN","NaN","32428.05","53.08","0.16","5117667","780.65","32.61","4.42","1.31"
"Nifty India Corporate Group Index - Aditya Birla Group","2024-08-23","NaN","NaN","NaN","8564.15","-28.25","-0.33","386393702","1937.23","750.87","4.00","0.50"
"Nifty India Corporate Group Index - Tata Group","2024-08-23","NaN","NaN","NaN","20261.41","-85.57","-0.42","98516968","7390.48","37.36","8.89","1.13"
"Nifty India Corporate Group Index - Tata Group 25% Cap","2024-08-23","18232.05","18245.10","18117.35","18166.75","-37.95","-0.21","71784416","5315.50","37.01","7.00","0.93"
"Nifty Private Bank","2024-08-23","25565.00","25604.55","25453.55","25502.85","-31.50","-0.12","72923473","4457.04","15.44","2.84","0.74"
"Nifty Smallcap 250","2024-08-23","18036.40","18054.70","17947.10","18006.55","22.10","0.12","688619788","22872.28","31.29","4.53","0.86"
"Nifty Smallcap 50","2024-08-23","9069.30","9081.80","8998.80","9031.40","-2.55","-0.03","181387512","9322.23","27.21","4.18","0.85"
"Nifty MidSmallcap 400","2024-08-23","20491.00","20502.10","20371.75","20384.45","-60.50","-0.30","1791837725","48153.91","38.31","5.13","0.75"
"Nifty Midcap 150","2024-08-23","21801.65","21809.10","21633.00","21645.65","-114.70","-0.53","1103217937","25281.64","43.76","5.53","0.69"
"Nifty IPO","2024-08-23","NaN","NaN","NaN","2284.10","8.97","0.39","177366864","6327.31","56.11","12.28","0.15"
"Nifty Midcap Select","2024-08-23","13079.55","13093.45","12944.00","12961.55","-105.55","-0.81","432243455","4235.84","62.66","6.88","0.80"
"NIFTY LargeMidcap 250","2024-08-23","16422.00","16428.35","16340.10","16347.15","-44.75","-0.27","1652564359","65400.02","30.97","4.86","0.93"
"NIFTY SME EMERGE","2024-08-23","NaN","NaN","NaN","15881.28","111.66","0.71","NaN","NaN","106.29","10.41","0.08"
"Nifty Oil & Gas","2024-08-23","13243.05","13272.00","13124.10","13140.45","-86.90","-0.66","87947419","4451.00","12.74","2.36","2.68"
"Nifty Financial Services 25/50","2024-08-23","25786.85","25817.60","25711.35","25731.90","-29.25","-0.11","56505533","6611.57","17.08","3.45","0.91"
"Nifty Healthcare Index","2024-08-23","14139.10","14165.30","14072.50","14100.85","-23.00","-0.16","15694254","2749.05","42.17","6.52","0.54"
"Nifty500 Multicap 50:25:25","2024-08-23","16442.95","16449.50","16376.50","16390.70","-18.05","-0.11","2341184147","88272.30","28.94","4.64","0.98"
"Nifty Microcap 250","2024-08-23","25236.85","25266.00","25102.35","25143.85","12.55","0.05","771343910","10006.16","31.14","3.87","0.46"
"Nifty Total Market","2024-08-23","13239.60","13245.95","13192.20","13201.60","-11.70","-0.09","3112528057","98278.45","26.85","4.50","1.04"
"Nifty India Digital","2024-08-23","9347.30","9354.90","9284.70","9299.80","-17.70","-0.19","630769385","11736.14","322.44","13.69","1.03"
"Nifty Mobility","2024-08-23","NaN","NaN","NaN","22258.27","227.02","1.03","239537702","15151.18","27.74","6.30","0.88"
"Nifty India Defence","2024-08-23","NaN","NaN","NaN","7083.03","56.51","0.80","33353079","3723.71","58.14","16.63","0.47"
"Nifty Financial Services Ex-Bank","2024-08-23","NaN","NaN","NaN","25739.39","-103.31","-0.40","77950085","5190.61","23.74","3.43","0.78"
"Nifty Housing","2024-08-23","NaN","NaN","NaN","11689.03","-44.86","-0.38","337897337","14253.54","27.49","3.72","0.85"
"Nifty Transportation & Logistics","2024-08-23","NaN","NaN","NaN","24916.14","261.52","1.06","279246139","13054.43","30.19","6.80","0.67"
"Nifty MidSmall Financial Services","2024-08-23","NaN","NaN","NaN","15154.16","-73.50","-0.48","236775569","7222.51","22.80","2.89","0.73"
"Nifty MidSmall Healthcare","2024-08-23","40466.00","40558.65","40332.95","40390.25","-49.30","-0.12","22627977","2177.14","51.94","6.54","0.75"
"Nifty MidSmall IT & Telecom","2024-08-23","NaN","NaN","NaN","11179.65","-74.96","-0.67","462082028","4857.58","NaN","31.40","0.81"
"Nifty MidSmall India Consumption","2024-08-23","NaN","NaN","NaN","19253.58","-66.83","-0.35","151246220","6792.08","64.55","8.82","0.43"
"Nifty REITs & InvITs","2024-08-23","NaN","NaN","NaN","1110.34","1.14","0.10","10968052","163.59","30.05","1.77","7.42"
"Nifty Core Housing","2024-08-23","NaN","NaN","NaN","17020.88","-138.46","-0.81","46451229","5801.52","39.75","4.61","0.64"
"Nifty500 Multicap Infrastructure 50:30:20","2024-08-23","14699.90","14712.60","14621.30","14635.10","-32.25","-0.22","712417064","14631.90","30.42","4.25","1.04"
"Nifty Rural","2024-08-23","NaN","NaN","NaN","15404.67","13.71","0.09","559106032","17586.63","30.33","4.78","1.06"
"Nifty Consumer Durables","2024-08-23","41099.95","41138.90","40692.30","40926.60","-70.20","-0.17","22773122","3092.30","86.64","13.48","0.35"
"Nifty Non-Cyclical Consumer","2024-08-23","NaN","NaN","NaN","17076.18","18.67","0.11","273779584","13944.68","67.96","13.83","0.86"
"Nifty500 Multicap India Manufacturing 50:30:20","2024-08-23","15546.85","15589.10","15501.00","15545.85","29.10","0.19","186416814","15736.10","34.54","4.54","0.77"
"Nifty EV & New Age Automotive","2024-08-23","NaN","NaN","NaN","3354.76","30.72","0.92","120754263","11395.72","35.10","6.49","0.69"
"Nifty500 LargeMidSmall Equal-Cap Weighted","2024-08-23","NaN","NaN","NaN","18145.43","-25.54","-0.14","2341184147","88272.30","31.08","4.75","0.91"
"Nifty India Tourism","2024-08-23","NaN","NaN","NaN","8783.46","84.89","0.98","163126392","3622.33","69.66","23.12","0.17"
