"index_name","index_date","open_index_value","high_index_value","low_index_value","closing_index_value","points_change","change_percent","volume","turnover_rs_cr","pe_ratio","pb_ratio","div_yield"
"Nifty Total Market","05-04-2024","11608.70","11650.70","11582.90","11642.50","29.15","0.25","3493359415","85482.52","25.45","4.11","1.04"
"Nifty India Digital","05-04-2024","7874.85","7912.40","7857.55","7905.80","26.30","0.33","770446996","6626.19","128.12","9.94","1.04"
"Nifty Mobility","05-04-2024","NaN","NaN","NaN","18613.15","27.73","0.15","159051425","8414.64","26.75","5.90","0.91"
"Nifty India Defence","05-04-2024","NaN","NaN","NaN","5017.81","32.25","0.65","40706069","2820.35","51.62","11.99","0.58"
"Nifty Financial Services Ex-Bank","05-04-2024","NaN","NaN","NaN","23694.64","194.21","0.83","122863717","7086.81","23.95","3.39","0.83"
"Nifty Housing","05-04-2024","NaN","NaN","NaN","10873.20","4.21","0.04","599400589","21120.30","27.05","3.54","0.80"
"Nifty Transportation & Logistics","05-04-2024","NaN","NaN","NaN","20849.09","27.37","0.13","119840781","5453.54","31.47","6.52","0.71"
"Nifty MidSmall Financial Services","05-04-2024","NaN","NaN","NaN","13773.94","105.38","0.77","396512149","5543.14","21.60","2.66","0.70"
"Nifty MidSmall Healthcare","05-04-2024","NaN","NaN","NaN","33340.04","80.67","0.24","25620952","1974.67","48.12","5.49","0.48"
"Nifty MidSmall IT & Telecom","05-04-2024","NaN","NaN","NaN","10233.54","-32.91","-0.32","732314580","3208.44","122.60","17.83","0.88"
"Nifty MidSmall India Consumption","05-04-2024","NaN","NaN","NaN","16045.08","65.75","0.41","44729688","3567.35","63.72","7.64","0.41"
"Nifty REITs & InvITs","05-04-2024","NaN","NaN","NaN","1085.66","-2.23","-0.21","4687093","113.29","32.87","1.67","6.98"
"Nifty Core Housing","05-04-2024","NaN","NaN","NaN","14813.72","-14.87","-0.10","37877709","4778.64","35.99","4.14","0.61"
"Nifty500 Multicap Infrastructure 50:30:20","05-04-2024","NaN","NaN","NaN","12871.70","-8.37","-0.07","998801509","14198.89","24.71","3.78","1.03"
"Nifty Consumer Durables","05-04-2024","33288.70","33404.70","33213.15","33301.70","27.60","0.08","13746678","1479.49","73.48","10.75","0.38"
"Nifty Non-Cyclical Consumer","05-04-2024","NaN","NaN","NaN","14100.16","-2.39","-0.02","108872650","6591.83","61.01","11.77","0.93"
"Nifty500 Multicap India Manufacturing 50:30:20","05-04-2024","NaN","NaN","NaN","12987.61","22.62","0.17","274466544","14213.23","29.75","3.99","0.84"
"Nifty100 ESG Sector Leaders","05-04-2024","3724.90","3734.50","3716.85","3730.40","1.40","0.04","319658592","28403.98","27.37","4.38","0.94"
"NIFTY100 Alpha 30","05-04-2024","NaN","NaN","NaN","18025.93","28.96","0.16","303122935","10906.88","18.72","4.33","1.22"
"NIFTY500 Value 50","05-04-2024","NaN","NaN","NaN","13282.43","41.46","0.31","687540481","15235.81","10.58","1.70","3.38"
"Nifty100 Low Volatility 30","05-04-2024","18104.80","18167.60","18072.60","18131.75","25.35","0.14","122517510","15402.98","32.81","6.41","1.27"
"NIFTY Alpha Low-Volatility 30","05-04-2024","26228.55","26276.10","26155.50","26193.35","-49.95","-0.19","113533830","9273.93","24.08","4.70","1.34"
"NIFTY Quality Low-Volatility 30","05-04-2024","NaN","NaN","NaN","16252.92","22.81","0.14","94429953","12435.22","31.06","7.97","1.54"
"NIFTY Alpha Quality Low-Volatility 30","05-04-2024","NaN","NaN","NaN","21189.22","81.29","0.39","81598542","7436.56","28.98","7.71","1.59"
"NIFTY Alpha Quality Value Low-Volatility 30","05-04-2024","NaN","NaN","NaN","18620.52","38.65","0.21","140069437","12567.54","19.31","4.71","2.17"
"NIFTY200 Quality 30","05-04-2024","18822.00","18857.40","18755.40","18845.35","29.25","0.16","91039569","7672.17","33.00","9.77","1.82"
"NIFTY Midcap150 Quality 50","05-04-2024","20887.60","21000.85","20834.80","20979.30","107.30","0.51","52806702","4077.42","28.96","7.14","1.25"
"Nifty200 Momentum 30","05-04-2024","31478.35","31589.00","31380.75","31534.60","54.95","0.17","151695517","7971.66","21.97","4.29","1.36"
"Nifty India Manufacturing","05-04-2024","12471.75","12519.15","12445.35","12502.80","12.90","0.10","242291944","14911.44","28.23","4.73","1.10"
"Nifty200 Alpha 30","05-04-2024","23778.75","23884.00","23667.35","23864.45","82.55","0.35","904406809","8808.90","22.39","4.31","1.38"
"Nifty Midcap150 Momentum 50","05-04-2024","54814.00","55148.25","54700.65","55004.40","287.80","0.53","286069014","8540.51","24.73","4.12","0.91"
